family,r,total_empty,current_player_result,state
A,1,9,L,"1:2:2 2:0:1 3:1:2 3:1:2"
B,1,9,L,"1:1:1 1:2:2 3:1:2 4:0:2"
A,2,11,L,"2:2:2 3:0:1 3:1:2 3:1:2"
B,2,11,L,"2:1:1 2:2:2 3:1:2 4:0:2"
A,3,13,L,"3:1:2 3:1:2 3:2:2 4:0:1"
B,3,13,L,"3:1:1 3:1:2 3:2:2 4:0:2"
A,4,15,L,"3:1:2 3:1:2 4:2:2 5:0:1"
B,4,15,L,"3:1:2 4:0:2 4:1:1 4:2:2"
A,5,17,L,"3:1:2 3:1:2 5:2:2 6:0:1"
B,5,17,L,"3:1:2 4:0:2 5:1:1 5:2:2"
A,6,19,L,"3:1:2 3:1:2 6:2:2 7:0:1"
B,6,19,L,"3:1:2 4:0:2 6:1:1 6:2:2"
A,7,21,L,"3:1:2 3:1:2 7:2:2 8:0:1"
B,7,21,L,"3:1:2 4:0:2 7:1:1 7:2:2"
A,8,23,L,"3:1:2 3:1:2 8:2:2 9:0:1"
B,8,23,L,"3:1:2 4:0:2 8:1:1 8:2:2"
A,9,25,L,"3:1:2 3:1:2 9:2:2 10:0:1"
B,9,25,L,"3:1:2 4:0:2 9:1:1 9:2:2"
A,10,27,L,"3:1:2 3:1:2 10:2:2 11:0:1"
B,10,27,L,"3:1:2 4:0:2 10:1:1 10:2:2"
A,11,29,L,"3:1:2 3:1:2 11:2:2 12:0:1"
B,11,29,L,"3:1:2 4:0:2 11:1:1 11:2:2"
A,12,31,L,"3:1:2 3:1:2 12:2:2 13:0:1"
B,12,31,L,"3:1:2 4:0:2 12:1:1 12:2:2"
A,13,33,L,"3:1:2 3:1:2 13:2:2 14:0:1"
B,13,33,L,"3:1:2 4:0:2 13:1:1 13:2:2"
A,14,35,L,"3:1:2 3:1:2 14:2:2 15:0:1"
B,14,35,L,"3:1:2 4:0:2 14:1:1 14:2:2"
A,15,37,L,"3:1:2 3:1:2 15:2:2 16:0:1"
B,15,37,L,"3:1:2 4:0:2 15:1:1 15:2:2"
A,16,39,L,"3:1:2 3:1:2 16:2:2 17:0:1"
B,16,39,L,"3:1:2 4:0:2 16:1:1 16:2:2"
A,17,41,L,"3:1:2 3:1:2 17:2:2 18:0:1"
B,17,41,L,"3:1:2 4:0:2 17:1:1 17:2:2"
A,18,43,L,"3:1:2 3:1:2 18:2:2 19:0:1"
B,18,43,L,"3:1:2 4:0:2 18:1:1 18:2:2"
C,3,12,L,"3:0:1 3:1:2 3:1:2 3:2:2"
