left_len,right_len,total_empty,n,first,current_player_result,black_initial_result
1,1,2,3,1,L,W
1,2,3,4,1,L,W
1,3,4,5,1,W,L
1,4,5,6,1,W,L
1,5,6,7,1,W,L
1,6,7,8,1,W,L
1,7,8,9,1,W,L
1,8,9,10,1,W,L
1,9,10,11,1,W,L
1,10,11,12,1,W,L
1,11,12,13,1,W,L
1,12,13,14,1,W,L
1,13,14,15,1,W,L
1,14,15,16,1,W,L
1,15,16,17,1,W,L
1,16,17,18,1,W,L
1,17,18,19,1,W,L
1,18,19,20,1,W,L
1,19,20,21,1,W,L
1,20,21,22,1,W,L
1,21,22,23,1,W,L
1,22,23,24,1,W,L
1,23,24,25,1,W,L
1,24,25,26,1,W,L
1,25,26,27,1,W,L
1,26,27,28,1,W,L
1,27,28,29,1,W,L
1,28,29,30,1,W,L
1,29,30,31,1,W,L
1,30,31,32,1,W,L
1,31,32,33,1,W,L
1,32,33,34,1,W,L
1,33,34,35,1,W,L
1,34,35,36,1,W,L
1,35,36,37,1,W,L
1,36,37,38,1,W,L
1,37,38,39,1,W,L
1,38,39,40,1,W,L
1,39,40,41,1,W,L
1,40,41,42,1,W,L
1,41,42,43,1,W,L
1,42,43,44,1,W,L
1,43,44,45,1,W,L
2,1,3,4,2,L,W
2,2,4,5,2,L,W
2,3,5,6,2,L,W
2,4,6,7,2,W,L
2,5,7,8,2,L,W
2,6,8,9,2,L,W
2,7,9,10,2,L,W
2,8,10,11,2,L,W
2,9,11,12,2,L,W
2,10,12,13,2,L,W
2,11,13,14,2,L,W
2,12,14,15,2,L,W
2,13,15,16,2,L,W
2,14,16,17,2,L,W
2,15,17,18,2,L,W
2,16,18,19,2,L,W
2,17,19,20,2,L,W
2,18,20,21,2,L,W
2,19,21,22,2,L,W
2,20,22,23,2,L,W
2,21,23,24,2,L,W
2,22,24,25,2,L,W
2,23,25,26,2,L,W
2,24,26,27,2,L,W
2,25,27,28,2,L,W
2,26,28,29,2,L,W
2,27,29,30,2,L,W
2,28,30,31,2,L,W
2,29,31,32,2,L,W
2,30,32,33,2,L,W
2,31,33,34,2,L,W
2,32,34,35,2,L,W
2,33,35,36,2,L,W
2,34,36,37,2,L,W
2,35,37,38,2,L,W
2,36,38,39,2,L,W
2,37,39,40,2,L,W
2,38,40,41,2,L,W
2,39,41,42,2,L,W
2,40,42,43,2,L,W
2,41,43,44,2,L,W
2,42,44,45,2,L,W
3,1,4,5,3,W,L
3,2,5,6,3,L,W
3,3,6,7,3,L,W
3,4,7,8,3,L,W
3,5,8,9,3,W,L
3,6,9,10,3,W,L
3,7,10,11,3,L,W
3,8,11,12,3,L,W
3,9,12,13,3,L,W
3,10,13,14,3,L,W
3,11,14,15,3,W,L
3,12,15,16,3,L,W
3,13,16,17,3,L,W
3,14,17,18,3,L,W
3,15,18,19,3,L,W
3,16,19,20,3,L,W
3,17,20,21,3,L,W
3,18,21,22,3,L,W
3,19,22,23,3,L,W
3,20,23,24,3,L,W
3,21,24,25,3,L,W
3,22,25,26,3,L,W
3,23,26,27,3,L,W
3,24,27,28,3,L,W
3,25,28,29,3,L,W
3,26,29,30,3,L,W
3,27,30,31,3,L,W
3,28,31,32,3,L,W
3,29,32,33,3,L,W
3,30,33,34,3,L,W
3,31,34,35,3,L,W
3,32,35,36,3,L,W
3,33,36,37,3,L,W
3,34,37,38,3,L,W
3,35,38,39,3,L,W
3,36,39,40,3,L,W
3,37,40,41,3,L,W
3,38,41,42,3,L,W
3,39,42,43,3,L,W
3,40,43,44,3,L,W
3,41,44,45,3,L,W
4,1,5,6,4,W,L
4,2,6,7,4,W,L
4,3,7,8,4,L,W
4,4,8,9,4,L,W
4,5,9,10,4,L,W
4,6,10,11,4,W,L
4,7,11,12,4,W,L
4,8,12,13,4,W,L
4,9,13,14,4,L,W
4,10,14,15,4,L,W
4,11,15,16,4,L,W
4,12,16,17,4,L,W
4,13,17,18,4,L,W
4,14,18,19,4,W,L
4,15,19,20,4,L,W
4,16,20,21,4,L,W
4,17,21,22,4,L,W
4,18,22,23,4,L,W
4,19,23,24,4,L,W
4,20,24,25,4,L,W
4,21,25,26,4,L,W
4,22,26,27,4,L,W
4,23,27,28,4,L,W
4,24,28,29,4,L,W
4,25,29,30,4,L,W
4,26,30,31,4,L,W
4,27,31,32,4,L,W
4,28,32,33,4,L,W
4,29,33,34,4,L,W
4,30,34,35,4,L,W
4,31,35,36,4,L,W
4,32,36,37,4,L,W
4,33,37,38,4,L,W
4,34,38,39,4,L,W
4,35,39,40,4,L,W
4,36,40,41,4,L,W
4,37,41,42,4,L,W
