left_len,right_len,total_empty,n,first,current_gap_m,current_gap_left,current_gap_right,current_pos,response_gap_m,response_gap_left,response_gap_right,response_pos
2,3,5,6,2,3,0,2,1,2,0,1,1
2,5,7,8,2,5,0,2,1,3,1,2,0
2,5,7,8,2,5,0,2,2,2,1,2,0
2,5,7,8,2,5,0,2,3,3,0,2,1
2,6,8,9,2,6,0,2,1,4,1,2,1
2,6,8,9,2,6,0,2,2,3,1,2,1
2,6,8,9,2,6,0,2,3,3,0,2,1
2,6,8,9,2,6,0,2,4,4,0,2,1
2,7,9,10,2,7,0,2,1,5,1,2,1
2,7,9,10,2,7,0,2,2,4,1,2,1
2,7,9,10,2,7,0,2,3,3,1,2,0
2,7,9,10,2,7,0,2,4,4,0,2,1
2,7,9,10,2,7,0,2,5,5,0,2,2
2,8,10,11,2,8,0,2,1,6,1,2,2
2,8,10,11,2,8,0,2,2,5,1,2,2
2,8,10,11,2,8,0,2,3,4,1,2,0
2,8,10,11,2,8,0,2,4,4,0,2,1
2,8,10,11,2,8,0,2,5,5,0,2,1
2,8,10,11,2,8,0,2,6,6,0,2,2
2,9,11,12,2,9,0,2,1,7,1,2,0
2,9,11,12,2,9,0,2,2,6,1,2,2
2,9,11,12,2,9,0,2,3,5,1,2,1
2,9,11,12,2,9,0,2,4,4,1,2,0
2,9,11,12,2,9,0,2,5,5,0,2,1
2,9,11,12,2,9,0,2,6,6,0,2,2
2,9,11,12,2,9,0,2,7,7,0,2,3
2,10,12,13,2,10,0,2,1,8,1,2,1
2,10,12,13,2,10,0,2,2,7,1,2,3
2,10,12,13,2,10,0,2,3,3,0,2,1
2,10,12,13,2,10,0,2,4,4,0,2,2
2,10,12,13,2,10,0,2,5,5,0,2,1
2,10,12,13,2,10,0,2,6,3,1,2,1
2,10,12,13,2,10,0,2,7,7,0,2,2
2,10,12,13,2,10,0,2,8,8,0,2,1
2,11,13,14,2,11,0,2,1,9,1,2,0
2,11,13,14,2,11,0,2,2,8,1,2,1
2,11,13,14,2,11,0,2,3,7,1,2,2
2,11,13,14,2,11,0,2,4,4,0,2,2
2,11,13,14,2,11,0,2,5,5,1,2,1
2,11,13,14,2,11,0,2,6,4,1,2,2
2,11,13,14,2,11,0,2,7,3,1,2,1
2,11,13,14,2,11,0,2,8,8,0,2,4
2,11,13,14,2,11,0,2,9,9,0,2,2
2,12,14,15,2,12,0,2,1,10,1,2,1
2,12,14,15,2,12,0,2,2,9,1,2,2
2,12,14,15,2,12,0,2,3,3,0,2,1
2,12,14,15,2,12,0,2,4,4,0,2,1
2,12,14,15,2,12,0,2,5,5,0,2,2
2,12,14,15,2,12,0,2,6,5,1,2,2
2,12,14,15,2,12,0,2,7,4,1,2,1
2,12,14,15,2,12,0,2,8,3,1,2,1
2,12,14,15,2,12,0,2,9,9,0,2,1
2,12,14,15,2,12,0,2,10,10,0,2,1
2,13,15,16,2,13,0,2,1,11,1,2,0
2,13,15,16,2,13,0,2,2,10,1,2,1
2,13,15,16,2,13,0,2,3,9,1,2,1
2,13,15,16,2,13,0,2,4,4,0,2,2
2,13,15,16,2,13,0,2,5,5,0,2,2
2,13,15,16,2,13,0,2,6,6,0,2,3
2,13,15,16,2,13,0,2,7,5,1,2,2
2,13,15,16,2,13,0,2,8,4,1,2,1
2,13,15,16,2,13,0,2,9,3,1,2,1
2,13,15,16,2,13,0,2,10,10,0,2,2
2,13,15,16,2,13,0,2,11,11,0,2,2
2,14,16,17,2,14,0,2,1,12,1,2,1
2,14,16,17,2,14,0,2,2,11,1,2,2
2,14,16,17,2,14,0,2,3,3,0,2,1
2,14,16,17,2,14,0,2,4,4,0,2,1
2,14,16,17,2,14,0,2,5,5,0,2,1
2,14,16,17,2,14,0,2,6,6,0,2,2
2,14,16,17,2,14,0,2,7,6,1,2,2
2,14,16,17,2,14,0,2,8,5,1,2,1
2,14,16,17,2,14,0,2,9,4,1,2,2
2,14,16,17,2,14,0,2,10,3,1,2,1
2,14,16,17,2,14,0,2,11,11,0,2,1
2,14,16,17,2,14,0,2,12,12,0,2,1
2,15,17,18,2,15,0,2,1,13,1,2,0
2,15,17,18,2,15,0,2,2,12,1,2,1
2,15,17,18,2,15,0,2,3,11,1,2,1
2,15,17,18,2,15,0,2,4,4,0,2,2
