m,pos,edge_distance,center_distance,child_gap_count,child_gaps
3,1,1,0,2,"1:0:2 1:1:2"
4,2,1,1,2,"1:1:2 2:0:2"
5,2,2,0,2,"2:0:2 2:1:2"
6,3,2,1,2,"2:1:2 3:0:2"
7,3,3,0,2,"3:0:2 3:1:2"
8,4,3,1,2,"3:1:2 4:0:2"
9,2,2,4,2,"2:0:2 6:1:2"
9,4,4,0,2,"4:0:2 4:1:2"
10,5,4,1,2,"4:1:2 5:0:2"
10,7,2,5,2,"2:1:2 7:0:2"
11,2,2,6,2,"2:0:2 8:1:2"
11,5,5,0,2,"5:0:2 5:1:2"
11,8,2,6,2,"2:1:2 8:0:2"
12,6,5,1,2,"5:1:2 6:0:2"
13,2,2,8,2,"2:0:2 10:1:2"
13,6,6,0,2,"6:0:2 6:1:2"
13,9,3,6,2,"3:1:2 9:0:2"
14,7,6,1,2,"6:1:2 7:0:2"
14,10,3,7,2,"3:1:2 10:0:2"
15,2,2,10,2,"2:0:2 12:1:2"
15,7,7,0,2,"7:0:2 7:1:2"
16,8,7,1,2,"7:1:2 8:0:2"
16,10,5,5,2,"5:1:2 10:0:2"
17,2,2,12,2,"2:0:2 14:1:2"
17,8,8,0,2,"8:0:2 8:1:2"
17,11,5,6,2,"5:1:2 11:0:2"
18,9,8,1,2,"8:1:2 9:0:2"
19,2,2,14,2,"2:0:2 16:1:2"
19,9,9,0,2,"9:0:2 9:1:2"
19,12,6,6,2,"6:1:2 12:0:2"
20,7,7,5,2,"7:0:2 12:1:2"
20,10,9,1,2,"9:1:2 10:0:2"
20,13,6,7,2,"6:1:2 13:0:2"
20,16,3,13,2,"3:1:2 16:0:2"
21,2,2,16,2,"2:0:2 18:1:2"
21,10,10,0,2,"10:0:2 10:1:2"
22,11,10,1,2,"10:1:2 11:0:2"
23,2,2,18,2,"2:0:2 20:1:2"
23,11,11,0,2,"11:0:2 11:1:2"
23,14,8,6,2,"8:1:2 14:0:2"
24,9,9,5,2,"9:0:2 14:1:2"
24,12,11,1,2,"11:1:2 12:0:2"
24,17,6,11,2,"6:1:2 17:0:2"
24,20,3,17,2,"3:1:2 20:0:2"
25,2,2,20,2,"2:0:2 22:1:2"
25,12,12,0,2,"12:0:2 12:1:2"
25,15,9,6,2,"9:1:2 15:0:2"
26,5,5,15,2,"5:0:2 20:1:2"
26,10,10,5,2,"10:0:2 15:1:2"
26,13,12,1,2,"12:1:2 13:0:2"
26,15,10,5,2,"10:1:2 15:0:2"
26,16,9,7,2,"9:1:2 16:0:2"
26,18,7,11,2,"7:1:2 18:0:2"
26,20,5,15,2,"5:1:2 20:0:2"
26,23,2,21,2,"2:1:2 23:0:2"
27,2,2,22,2,"2:0:2 24:1:2"
27,13,13,0,2,"13:0:2 13:1:2"
28,14,13,1,2,"13:1:2 14:0:2"
29,2,2,24,2,"2:0:2 26:1:2"
29,14,14,0,2,"14:0:2 14:1:2"
29,17,11,6,2,"11:1:2 17:0:2"
30,9,9,11,2,"9:0:2 20:1:2"
30,10,10,9,2,"10:0:2 19:1:2"
30,12,12,5,2,"12:0:2 17:1:2"
30,15,14,1,2,"14:1:2 15:0:2"
30,20,9,11,2,"9:1:2 20:0:2"
30,23,6,17,2,"6:1:2 23:0:2"
30,26,3,23,2,"3:1:2 26:0:2"
