m,current_player_result,first_win_pos,best_edge_pos,best_edge_distance,winning_move_count,winning_positions,edge_distances,center_distances
1,L,,,,0,"","",""
2,L,,,,0,"","",""
3,W,1,1,1,1,"1","1","0"
4,W,2,2,1,1,"2","1","1"
5,W,2,2,2,1,"2","2","0"
6,W,3,3,2,1,"3","2","1"
7,W,3,3,3,1,"3","3","0"
8,W,4,4,3,1,"4","3","1"
9,W,2,2,2,2,"2 4","2 4","4 0"
10,W,5,7,2,2,"5 7","4 2","1 5"
11,W,2,2,2,3,"2 5 8","2 5 2","6 0 6"
12,W,6,6,5,1,"6","5","1"
13,W,2,2,2,3,"2 6 9","2 6 3","8 0 6"
14,W,7,10,3,2,"7 10","6 3","1 7"
15,W,2,2,2,2,"2 7","2 7","10 0"
16,W,8,10,5,2,"8 10","7 5","1 5"
17,W,2,2,2,3,"2 8 11","2 8 5","12 0 6"
18,W,9,9,8,1,"9","8","1"
19,W,2,2,2,3,"2 9 12","2 9 6","14 0 6"
20,W,7,16,3,4,"7 10 13 16","7 9 6 3","5 1 7 13"
21,W,2,2,2,2,"2 10","2 10","16 0"
22,W,11,11,10,1,"11","10","1"
23,W,2,2,2,3,"2 11 14","2 11 8","18 0 6"
24,W,9,20,3,4,"9 12 17 20","9 11 6 3","5 1 11 17"
25,W,2,2,2,3,"2 12 15","2 12 9","20 0 6"
26,W,5,23,2,8,"5 10 13 15 16 18 20 23","5 10 12 10 9 7 5 2","15 5 1 5 7 11 15 21"
27,W,2,2,2,2,"2 13","2 13","22 0"
28,W,14,14,13,1,"14","13","1"
29,W,2,2,2,3,"2 14 17","2 14 11","24 0 6"
30,W,9,26,3,7,"9 10 12 15 20 23 26","9 10 12 14 9 6 3","11 9 5 1 11 17 23"
