family,n,total_empty,state,current_gap_m,current_gap_left,current_gap_right,current_pos,child_gap_count,child_gaps,best_response_gap_m,best_response_gap_left,best_response_gap_right,best_response_pos,best_response_edge_distance,winning_response_count,response_child_gap_count,response_child_gaps
OO_MM,1,2,"1:1:1 1:2:2",1,1,1,0,1,"1:1:1",1,1,1,0,0,1,0,""
OO_WM_PLUS,1,3,"1:2:2 2:0:1",2,0,1,1,2,"1:0:2 1:1:1",1,1,1,0,0,1,1,"1:0:1"
MO_MO,2,4,"2:1:2 2:1:2",2,1,2,0,2,"1:1:2 2:1:2",2,1,2,0,0,1,2,"1:1:2 1:1:2"
OO_MM,2,4,"2:1:1 2:2:2",2,1,1,0,2,"1:2:2 2:1:1",2,1,1,0,0,1,2,"1:1:1 1:2:2"
OO_WM,2,4,"2:0:1 2:2:2",2,0,1,1,2,"1:0:2 2:1:1",2,1,1,0,0,1,2,"1:0:1 1:2:2"
OO_WM_PLUS,2,5,"2:2:2 3:0:1",3,0,1,1,3,"1:0:2 1:2:2 2:1:1",2,1,1,0,0,1,3,"1:0:1 1:1:1 1:2:2"
OO_WM_PLUS,2,5,"2:2:2 3:0:1",3,0,1,2,2,"2:0:2 2:1:1",2,1,1,0,0,1,2,"1:2:2 2:0:1"
WO_MO,2,4,"2:0:2 2:1:2",2,1,2,0,2,"1:1:2 2:0:1",2,0,1,1,0,1,2,"1:0:2 1:1:2"
WO_PLUS_MO,2,5,"2:1:2 3:0:2",2,1,2,0,2,"1:1:2 3:0:1",3,0,1,2,0,2,2,"1:1:2 2:0:2"
WO_PLUS_MO,2,5,"2:1:2 3:0:2",3,0,2,1,3,"1:0:2 1:1:2 2:1:2",2,1,2,0,0,1,3,"1:0:1 1:1:2 1:1:2"
MO_MO,3,6,"3:1:2 3:1:2",3,1,2,0,2,"2:1:2 3:1:2",3,1,2,0,0,2,2,"2:1:2 2:1:2"
MO_MO,3,6,"3:1:2 3:1:2",3,1,2,1,3,"1:1:2 1:2:2 3:1:2",3,1,2,1,1,1,4,"1:1:1 1:1:2 1:1:2 1:2:2"
OO_MM,3,6,"3:1:1 3:2:2",3,1,1,0,2,"2:2:2 3:1:1",3,1,1,0,0,2,2,"2:1:1 2:2:2"
OO_MM,3,6,"3:1:1 3:2:2",3,1,1,1,3,"1:2:2 1:2:2 3:1:1",3,1,1,0,0,2,3,"1:1:1 1:1:1 2:2:2"
OO_MM,3,6,"3:1:1 3:2:2",3,2,2,1,3,"1:1:2 1:1:2 3:2:2",3,2,2,1,1,1,4,"1:1:2 1:1:2 1:1:2 1:1:2"
OO_WM,3,6,"3:0:1 3:2:2",3,0,1,1,3,"1:0:2 1:2:2 3:1:1",3,1,1,0,0,2,3,"1:0:1 1:1:1 2:2:2"
OO_WM,3,6,"3:0:1 3:2:2",3,0,1,2,2,"2:0:2 3:1:1",3,1,1,0,0,2,2,"2:0:1 2:2:2"
OO_WM,3,6,"3:0:1 3:2:2",3,2,2,1,3,"1:1:2 1:1:2 3:0:2",3,0,2,1,1,1,4,"1:0:2 1:1:2 1:1:2 1:1:2"
OO_WM_PLUS,3,7,"3:2:2 4:0:1",3,2,2,1,3,"1:1:2 1:1:2 4:0:2",4,0,2,2,1,1,4,"1:1:2 1:1:2 1:1:2 2:0:2"
OO_WM_PLUS,3,7,"3:2:2 4:0:1",4,0,1,1,3,"1:0:2 2:2:2 3:1:1",3,1,1,0,0,2,3,"1:0:1 2:1:1 2:2:2"
OO_WM_PLUS,3,7,"3:2:2 4:0:1",4,0,1,2,3,"1:2:2 2:0:2 3:1:1",3,1,1,0,0,2,3,"1:1:1 2:0:1 2:2:2"
OO_WM_PLUS,3,7,"3:2:2 4:0:1",4,0,1,3,2,"3:0:2 3:1:1",3,1,1,0,0,2,2,"2:2:2 3:0:1"
